Investment, RootNode, BuildGen, 'C-Biomass_IGCC':2020, 0.0
Operation, HighFuelCosts, DispatchGen, 'C-Central_PV-1':6, 1.45465045681753
Operation, HighFuelCosts, DispatchGen, 'C-Central_PV-1':7, 0.718118579947896
Operation, HighFuelCosts, DispatchGen, 'C-Central_PV-2':1, 0.0
Operation, HighFuelCosts, DispatchGen, 'C-Central_PV-2':2, 0.113022314239018
Operation, HighFuelCosts, DispatchGen, 'C-Central_PV-2':3, 0.0
Operation, HighFuelCosts, DispatchGen, 'C-Central_PV-2':4, 0.120086208878957
Operation, HighFuelCosts, DispatchGen, 'C-Central_PV-2':5, 0.0
Operation, HighFuelCosts, DispatchGen, 'C-Central_PV-2':6, 0.127150103518896
Operation, HighFuelCosts, DispatchGen, 'C-Central_PV-2':7, 0.0724049200593712
Operation, HighFuelCosts, DispatchGen, 'C-Coal_IGCC':1, 0.0
Operation, HighFuelCosts, DispatchGen, 'C-Coal_IGCC':2, 0.0
Operation, HighFuelCosts, DispatchGen, 'C-Coal_IGCC':3, 0.0
Operation, HighFuelCosts, DispatchGen, 'C-Coal_IGCC':4, 0.0
Operation, HighFuelCosts, DispatchGen, 'C-Coal_IGCC':5, 0.0
Operation, HighFuelCosts, DispatchGen, 'C-Coal_IGCC':6, 0.0
Operation, HighFuelCosts, DispatchGen, 'C-Coal_IGCC':7, 0.0
Operation, HighFuelCosts, DispatchGen, 'C-Coal_ST':1, 1.8
Operation, HighFuelCosts, DispatchGen, 'C-Coal_ST':2, 1.8
Operation, HighFuelCosts, DispatchGen, 'C-Coal_ST':3, 1.8
Operation, HighFuelCosts, DispatchGen, 'C-Coal_ST':4, 1.8
Operation, HighFuelCosts, DispatchGen, 'C-Coal_ST':5, 1.8
Operation, HighFuelCosts, DispatchGen, 'C-Coal_ST':6, 1.8
Operation, HighFuelCosts, DispatchGen, 'C-Commercial_PV':1, 0.0
Operation, HighFuelCosts, DispatchGen, 'C-Commercial_PV':2, 0.0
Operation, HighFuelCosts, DispatchGen, 'C-Commercial_PV':3, 0.0
Operation, HighFuelCosts, DispatchGen, 'C-Commercial_PV':4, 0.0
Operation, HighFuelCosts, DispatchGen, 'C-Commercial_PV':5, 0.0
Operation, HighFuelCosts, DispatchGen, 'C-Commercial_PV':6, 0.0
Operation, HighFuelCosts, DispatchGen, 'C-Commercial_PV':7, 0.0
Operation, HighFuelCosts, DispatchGen, 'C-NG_CC':1, 1.88805211916896
Operation, HighFuelCosts, DispatchGen, 'C-NG_CC':2, 0.0
Operation, HighFuelCosts, DispatchGen, 'C-NG_CC':3, 1.7609845220623
Operation, HighFuelCosts, DispatchGen, 'C-NG_CC':4, 0.219521385031848
Operation, HighFuelCosts, DispatchGen, 'C-NG_CC':5, 2.1951742922202
Operation, HighFuelCosts, DispatchGen, 'C-NG_CC':6, 2.3707777922695
Operation, HighFuelCosts, DispatchGen, 'C-NG_CC':7, 7.34333555231072
Operation, HighFuelCosts, DispatchGen, 'C-NG_GT':1, 0.0
Operation, HighFuelCosts, DispatchGen, 'C-NG_GT':2, 0.0
Operation, HighFuelCosts, DispatchGen, 'C-NG_GT':3, 0.0
Operation, HighFuelCosts, DispatchGen, 'C-NG_GT':4, 0.0
Operation, HighFuelCosts, DispatchGen, 'C-NG_GT':5, 0.0
Operation, HighFuelCosts, DispatchGen, 'C-NG_GT':6, 0.0
Operation, HighFuelCosts, DispatchGen, 'C-NG_GT':7, 0.0
Operation, HighFuelCosts, DispatchGen, 'C-Nuclear':7, 0.0
Operation, HighFuelCosts, DispatchGen, 'C-Residential_PV':1, 0.0
Operation, HighFuelCosts, DispatchGen, 'C-Residential_PV':2, 0.0
Operation, HighFuelCosts, DispatchGen, 'C-Residential_PV':3, 0.0
Operation, HighFuelCosts, DispatchGen, 'C-Residential_PV':4, 0.0
Operation, HighFuelCosts, DispatchGen, 'C-Residential_PV':5, 0.0
Operation, HighFuelCosts, DispatchGen, 'C-Residential_PV':6, 0.0
Operation, HighFuelCosts, DispatchGen, 'C-Residential_PV':7, 0.0
Operation, HighFuelCosts, DispatchGen, 'C-Wind-1':1, 0.176689417849261
Operation, HighFuelCosts, DispatchGen, 'C-Wind-1':2, 0.107084495666219
Operation, HighFuelCosts, DispatchGen, 'C-Wind-1':3, 0.195429204590849
Operation, HighFuelCosts, DispatchGen, 'C-Wind-1':4, 0.133855619582774
Operation, HighFuelCosts, DispatchGen, 'C-Wind-1':5, 0.0588964726164204
Operation, HighFuelCosts, DispatchGen, 'C-Wind-1':6, 0.0133855619582774
Operation, HighFuelCosts, DispatchGen, 'C-Wind-1':7, 3.1808000000000005
Operation, HighFuelCosts, DispatchGen, 'C-Wind-2':1, 0.0423334365826231
Operation, HighFuelCosts, DispatchGen, 'C-Wind-2':2, 0.0245807051124908
Operation, HighFuelCosts, DispatchGen, 'C-Wind-2':3, 0.0450646260395665
Operation, HighFuelCosts, DispatchGen, 'C-Wind-2':4, 0.0327742734833211
Operation, HighFuelCosts, DispatchGen, 'C-Wind-2':5, 0.00955916309930198
Operation, HighFuelCosts, DispatchGen, 'C-Wind-2':6, 0.00341398682117928
Operation, HighFuelCosts, DispatchGen, 'C-Wind-2':7, 2.56452
Operation, HighFuelCosts, DispatchGen, 'N-Biomass_IGCC':1, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Biomass_IGCC':2, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Biomass_IGCC':3, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Biomass_IGCC':4, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Biomass_IGCC':5, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Biomass_IGCC':6, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Biomass_IGCC':7, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Biomass_IGCC_CCS':7, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Central_PV-1':1, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Central_PV-1':2, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Central_PV-1':3, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Central_PV-1':4, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Central_PV-1':5, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Central_PV-1':6, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Central_PV-1':7, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Central_PV-2':1, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Central_PV-2':2, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Central_PV-2':3, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Central_PV-2':4, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Central_PV-2':5, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Central_PV-2':6, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Central_PV-2':7, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Coal_IGCC':1, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Coal_IGCC':2, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Coal_IGCC':3, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Coal_IGCC':4, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Coal_IGCC':5, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Coal_IGCC':6, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Coal_IGCC':7, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Coal_IGCC_CCS':7, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Coal_ST':1, 1.8
Operation, HighFuelCosts, DispatchGen, 'N-Coal_ST':2, 1.8
Operation, HighFuelCosts, DispatchGen, 'N-Coal_ST':3, 1.8
Operation, HighFuelCosts, DispatchGen, 'N-Coal_ST':4, 1.8
Operation, HighFuelCosts, DispatchGen, 'N-Coal_ST':5, 1.8
Operation, HighFuelCosts, DispatchGen, 'N-Coal_ST':6, 1.8
Operation, HighFuelCosts, DispatchGen, 'N-Coal_ST':7, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Commercial_PV':1, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Commercial_PV':2, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Commercial_PV':3, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Commercial_PV':4, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Commercial_PV':5, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Commercial_PV':6, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Commercial_PV':7, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Geothermal':1, 0.96858075
Operation, HighFuelCosts, DispatchGen, 'N-Geothermal':2, 0.96858075
Operation, HighFuelCosts, DispatchGen, 'N-Geothermal':3, 0.96858075
Operation, HighFuelCosts, DispatchGen, 'N-Geothermal':4, 0.96858075
Operation, HighFuelCosts, DispatchGen, 'N-Geothermal':5, 0.96858075
Operation, HighFuelCosts, DispatchGen, 'N-Geothermal':6, 0.96858075
Operation, HighFuelCosts, DispatchGen, 'N-Geothermal':7, 6.99440505513849e-15
Operation, HighFuelCosts, DispatchGen, 'N-NG_CC':1, 1.83533029540655
Operation, HighFuelCosts, DispatchGen, 'N-NG_CC':2, 1.12726408632524
Operation, HighFuelCosts, DispatchGen, 'N-NG_CC':3, 1.27752719086589
Operation, HighFuelCosts, DispatchGen, 'N-NG_CC':4, 1.2092373281415
Operation, HighFuelCosts, DispatchGen, 'N-NG_CC':5, 1.28630408632524
Operation, HighFuelCosts, DispatchGen, 'N-NG_CC':6, 1.9534086968361002
Operation, HighFuelCosts, DispatchGen, 'N-NG_CC':7, 1.9534086968361002
Operation, HighFuelCosts, DispatchGen, 'N-NG_CC_CCS':7, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-NG_GT':1, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-NG_GT':2, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-NG_GT':3, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-NG_GT':4, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-NG_GT':5, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-NG_GT':6, 1.09766446432228
Operation, HighFuelCosts, DispatchGen, 'N-NG_GT':7, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Nuclear':7, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Residential_PV':1, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Residential_PV':2, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Residential_PV':3, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Residential_PV':4, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Residential_PV':5, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Residential_PV':6, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Residential_PV':7, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Wind-1':1, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Wind-1':2, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Wind-1':3, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Wind-1':4, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Wind-1':5, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Wind-1':6, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Wind-1':7, 2.91829862720672
Operation, HighFuelCosts, DispatchGen, 'N-Wind-2':1, 0.67592
Operation, HighFuelCosts, DispatchGen, 'N-Wind-2':2, 0.32802
Operation, HighFuelCosts, DispatchGen, 'N-Wind-2':3, 0.70574
Operation, HighFuelCosts, DispatchGen, 'N-Wind-2':4, 0.457240000000001
Operation, HighFuelCosts, DispatchGen, 'N-Wind-2':5, 0.16898
Operation, HighFuelCosts, DispatchGen, 'N-Wind-2':6, 0.12922
Operation, HighFuelCosts, DispatchGen, 'N-Wind-2':7, 0.86478
Operation, HighFuelCosts, DispatchGen, 'S-Biomass_IGCC':1, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-Biomass_IGCC':2, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-Biomass_IGCC':3, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-Biomass_IGCC':4, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-Biomass_IGCC':5, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-Biomass_IGCC':6, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-Biomass_IGCC':7, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-Biomass_IGCC_CCS':7, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-Central_PV-1':1, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-Central_PV-1':2, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-Central_PV-1':3, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-Central_PV-1':4, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-Central_PV-1':5, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-Central_PV-1':6, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-Central_PV-1':7, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-Central_PV-2':1, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-Central_PV-2':2, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-Central_PV-2':3, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-Central_PV-2':4, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-Central_PV-2':5, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-Central_PV-2':6, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-Central_PV-2':7, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-Commercial_PV':1, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-Commercial_PV':2, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-Commercial_PV':3, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-Commercial_PV':4, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-Commercial_PV':5, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-Commercial_PV':6, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-Commercial_PV':7, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-Geothermal':1, 2.90574225
Operation, HighFuelCosts, DispatchGen, 'S-Geothermal':2, 2.90574225
Operation, HighFuelCosts, DispatchGen, 'S-Geothermal':3, 2.90574225
Operation, HighFuelCosts, DispatchGen, 'S-Geothermal':4, 2.90574225
Operation, HighFuelCosts, DispatchGen, 'S-Geothermal':5, 2.90574225
Operation, HighFuelCosts, DispatchGen, 'S-Geothermal':6, 2.90574225
Operation, HighFuelCosts, DispatchGen, 'S-Geothermal':7, 2.90574225
Operation, HighFuelCosts, DispatchGen, 'S-NG_CC':1, 3.43005500448786
Operation, HighFuelCosts, DispatchGen, 'S-NG_CC':2, 4.48602121356917
Operation, HighFuelCosts, DispatchGen, 'S-NG_CC':3, 3.9580381090285104
Operation, HighFuelCosts, DispatchGen, 'S-NG_CC':4, 4.69721445538543
Operation, HighFuelCosts, DispatchGen, 'S-NG_CC':5, 4.7
Operation, HighFuelCosts, DispatchGen, 'S-NG_CC':6, 4.7
Operation, HighFuelCosts, DispatchGen, 'S-NG_CC':7, 0.288296831136514
Operation, HighFuelCosts, DispatchGen, 'S-NG_CC_CCS':7, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-NG_GT':1, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-NG_GT':2, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-NG_GT':3, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-NG_GT':4, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-NG_GT':5, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-NG_GT':6, 1.88
Operation, HighFuelCosts, DispatchGen, 'S-NG_GT':7, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-Residential_PV':1, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-Residential_PV':2, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-Residential_PV':3, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-Residential_PV':4, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-Residential_PV':5, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-Residential_PV':6, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-Residential_PV':7, 0.0
Operation, HighFuelCosts, GenFuelUseRate, 'C-Biomass_IGCC':1:'BioSolid', 0.0
Operation, HighFuelCosts, GenFuelUseRate, 'C-Biomass_IGCC':2:'BioSolid', 0.0
Operation, HighFuelCosts, GenFuelUseRate, 'C-Biomass_IGCC':3:'BioSolid', 0.0
Operation, HighFuelCosts, GenFuelUseRate, 'C-Biomass_IGCC':4:'BioSolid', 0.0
Operation, HighFuelCosts, GenFuelUseRate, 'C-Biomass_IGCC':5:'BioSolid', 0.0
Operation, HighFuelCosts, GenFuelUseRate, 'C-Biomass_IGCC':6:'BioSolid', 0.0
Operation, HighFuelCosts, GenFuelUseRate, 'C-Biomass_IGCC':7:'BioSolid', 0.0
Operation, HighFuelCosts, GenFuelUseRate, 'C-Coal_IGCC':1:'Coal', 0.0
Operation, HighFuelCosts, GenFuelUseRate, 'C-Coal_IGCC':2:'Coal', 0.0
Operation, HighFuelCosts, GenFuelUseRate, 'C-Coal_IGCC':3:'Coal', 0.0
Operation, HighFuelCosts, GenFuelUseRate, 'C-Coal_IGCC':4:'Coal', 0.0
Operation, HighFuelCosts, GenFuelUseRate, 'C-Coal_IGCC':5:'Coal', 0.0
Operation, HighFuelCosts, GenFuelUseRate, 'C-Coal_IGCC':6:'Coal', 0.0
Operation, HighFuelCosts, GenFuelUseRate, 'C-Coal_IGCC':7:'Coal', 0.0
Operation, HighFuelCosts, GenFuelUseRate, 'C-Coal_ST':1:'Coal', 17.1
Operation, HighFuelCosts, GenFuelUseRate, 'C-Coal_ST':2:'Coal', 17.1
Operation, HighFuelCosts, GenFuelUseRate, 'C-Coal_ST':3:'Coal', 17.1
Operation, HighFuelCosts, GenFuelUseRate, 'C-Coal_ST':4:'Coal', 17.1
Operation, HighFuelCosts, GenFuelUseRate, 'C-Coal_ST':5:'Coal', 17.1
Operation, HighFuelCosts, GenFuelUseRate, 'C-Coal_ST':6:'Coal', 17.1
Operation, HighFuelCosts, GenFuelUseRate, 'C-NG_CC':1:'NaturalGas', 12.6593894590279
Operation, HighFuelCosts, GenFuelUseRate, 'C-NG_CC':2:'NaturalGas', 0.0
Operation, HighFuelCosts, GenFuelUseRate, 'C-NG_CC':3:'NaturalGas', 11.8074012204277
Operation, HighFuelCosts, GenFuelUseRate, 'C-NG_CC':4:'NaturalGas', 1.47189088663854
Operation, HighFuelCosts, GenFuelUseRate, 'C-NG_CC':5:'NaturalGas', 14.7186436293365
Operation, HighFuelCosts, GenFuelUseRate, 'C-NG_CC':6:'NaturalGas', 15.896065097167
Operation, HighFuelCosts, GenFuelUseRate, 'C-NG_CC':7:'NaturalGas', 49.2370648782434
Operation, HighFuelCosts, GenFuelUseRate, 'C-NG_GT':1:'NaturalGas', 0.0
Operation, HighFuelCosts, GenFuelUseRate, 'C-NG_GT':2:'NaturalGas', 0.0
Operation, HighFuelCosts, GenFuelUseRate, 'C-NG_GT':3:'NaturalGas', 0.0
Operation, HighFuelCosts, GenFuelUseRate, 'C-NG_GT':4:'NaturalGas', 0.0
Operation, HighFuelCosts, GenFuelUseRate, 'C-NG_GT':5:'NaturalGas', 0.0
Operation, HighFuelCosts, GenFuelUseRate, 'C-NG_GT':6:'NaturalGas', 0.0
Operation, HighFuelCosts, GenFuelUseRate, 'C-NG_GT':7:'NaturalGas', 0.0
Operation, HighFuelCosts, GenFuelUseRate, 'C-Nuclear':7:'Uranium', 0.0
Operation, HighFuelCosts, GenFuelUseRate, 'N-Biomass_IGCC':1:'BioSolid', 0.0
Operation, HighFuelCosts, GenFuelUseRate, 'N-Biomass_IGCC':2:'BioSolid', 0.0
Operation, HighFuelCosts, GenFuelUseRate, 'N-Biomass_IGCC':3:'BioSolid', 0.0
Operation, HighFuelCosts, GenFuelUseRate, 'N-Biomass_IGCC':4:'BioSolid', 0.0
Operation, HighFuelCosts, GenFuelUseRate, 'N-Biomass_IGCC':5:'BioSolid', 0.0
Operation, HighFuelCosts, GenFuelUseRate, 'N-Biomass_IGCC':6:'BioSolid', 0.0
Operation, HighFuelCosts, GenFuelUseRate, 'N-Biomass_IGCC':7:'BioSolid', 0.0
Operation, HighFuelCosts, GenFuelUseRate, 'N-Biomass_IGCC_CCS':7:'BioSolid', 0.0
Operation, HighFuelCosts, GenFuelUseRate, 'N-Coal_IGCC':1:'Coal', 0.0
