PROJ_DISPATCH_POINTS_1	PROJ_DISPATCH_POINTS_2	DispatchProj
C-Wind-1	7	3.1808
C-Residential_PV	4	0
N-NG_GT	2	0
N-Commercial_PV	1	0
C-NG_CC	6	2.02205
C-Wind-2	7	2.56452
S-Residential_PV	6	0
N-Central_PV-2	3	0
N-Residential_PV	1	0
S-NG_CC_CCS	7	0
C-Commercial_PV	5	0
S-Central_PV-2	6	0
S-Biomass_IGCC	2	0
C-Biomass_IGCC	5	0
N-Geothermal	5	0.968581
S-Central_PV-2	2	0
N-Biomass_IGCC	2	0
C-Wind-1	4	0
C-Coal_IGCC	6	0
C-NG_CC	1	2.02205
S-Commercial_PV	5	0
N-Residential_PV	2	0
S-NG_CC	6	4.7
S-Residential_PV	5	0
N-Central_PV-2	5	0
S-Central_PV-1	1	0
C-Commercial_PV	2	0
C-Commercial_PV	6	0
N-Wind-2	2	0
N-Biomass_IGCC	5	0
C-Wind-1	6	0
N-Coal_IGCC	5	0
C-Biomass_IGCC	2	0
C-Coal_IGCC	1	0
N-NG_CC	7	1.88
C-Central_PV-1	7	0
S-NG_GT	3	0
N-Residential_PV	7	0
C-Residential_PV	5	0
S-NG_CC	1	4.4087
N-Residential_PV	6	0
C-Central_PV-2	7	0
N-Coal_ST	3	1.692
S-Geothermal	6	2.90574
C-NG_GT	3	0
S-Central_PV-1	6	0
N-Geothermal	2	0.968581
N-Coal_ST	1	1.692
N-Wind-2	7	0.86478
N-Biomass_IGCC	6	0
C-Wind-1	3	0
C-Coal_ST	4	1.692
S-Commercial_PV	1	0
N-Wind-1	7	3.1808
S-Commercial_PV	4	0
C-Wind-2	3	0
N-Commercial_PV	4	0
N-Residential_PV	4	0
N-NG_GT	6	1.77742
N-Central_PV-2	7	0
S-Commercial_PV	2	0
N-Central_PV-1	7	0
N-NG_GT	3	0
N-Coal_ST	7	1.692
S-Biomass_IGCC	6	0
C-NG_GT	4	0
N-Geothermal	1	0.968581
S-Central_PV-2	1	0
N-Commercial_PV	3	0
N-Wind-2	4	0
N-Central_PV-1	3	0
C-Coal_ST	1	1.692
C-NG_CC	5	2.02205
C-Biomass_IGCC	3	0
N-NG_CC	1	1.88
C-Wind-2	6	0
S-NG_GT	6	1.62513
N-Central_PV-2	4	0
N-Residential_PV	5	0
S-Commercial_PV	6	0
N-Central_PV-1	2	0
S-Biomass_IGCC_CCS	7	0
S-Biomass_IGCC	1	0
C-Biomass_IGCC	4	0
N-Geothermal	4	0.968581
S-Central_PV-2	4	0
C-Residential_PV	7	0
N-Coal_IGCC	1	0
C-Central_PV-1	3	0
C-Wind-1	5	0
C-Coal_IGCC	5	0
C-Residential_PV	2	0
N-Residential_PV	3	0
