PROJ_DISPATCH_POINTS_1	PROJ_DISPATCH_POINTS_2	DispatchProj
Unique-Hydro_Series	36	3.32666666667
Unique-NG_CC	4	0.0
Unique-Central_PV	19	1.764
Unique-Hydro_Series	25	4.5
Unique-Hydro_Dam_1	46	7.84
Unique-Hydro_Series	23	9.8
Unique-Central_PV	28	0.0
Unique-Hydro_Series	10	3.48266666667
Unique-Hydro_Dam_1	35	7.84
Unique-NG_CC	42	0.0
Unique-Central_PV	34	1.176
Unique-Hydro_Dam_2	24	5.88
Unique-Hydro_Dam_1	16	3.52
Unique-Central_PV	47	0.0
Unique-Hydro_Dam_2	23	5.88
Unique-Hydro_Dam_1	5	4.73333333333
Unique-NG_CC	27	0.0
Unique-Hydro_Series	2	1.30666666667
Unique-Hydro_Dam_2	2	5.88
Unique-NG_CC	14	0.0
Unique-Central_PV	5	0.0
Unique-NG_CC	1	0.0
Unique-Central_PV	22	0.0
Unique-Hydro_Series	20	6.28
Unique-Hydro_Dam_1	41	6.304
Unique-Hydro_Series	8	3.404
Unique-Hydro_Series	48	7.28
Unique-Hydro_Series	9	3.54133333333
Unique-Hydro_Dam_1	30	2.14666666667
Unique-NG_CC	39	0.0
Unique-Central_PV	33	0.588
Unique-Hydro_Dam_2	29	5.88
Unique-Hydro_Dam_1	19	4.97066666667
Unique-Hydro_Series	37	3.32666666667
Unique-Hydro_Series	47	9.8
Unique-NG_CC	24	0.0
Unique-Hydro_Dam_2	41	5.88
Unique-Hydro_Dam_2	7	0.0
Unique-Hydro_Series	43	5.28
Unique-NG_CC	11	0.0
Unique-Central_PV	8	0.588
Unique-Hydro_Series	30	1.97333333333
Unique-Central_PV	21	0.0
Unique-Hydro_Series	19	3.38533333333
Unique-Hydro_Dam_1	36	4.85333333333
Unique-Hydro_Dam_2	26	0.0
Unique-Hydro_Dam_2	35	0.988
Unique-Hydro_Dam_1	25	7.2
Unique-NG_CC	36	0.0
Unique-Central_PV	36	2.94
Unique-Hydro_Dam_2	30	5.88
Unique-Hydro_Dam_1	14	5.98933333333
Unique-Hydro_Series	42	4.248
Unique-Hydro_Dam_1	3	0.813333333333
Unique-NG_CC	21	0.0
Unique-Central_PV	2	0.0
Unique-Hydro_Dam_2	36	5.88
Unique-Hydro_Series	40	4.052
Unique-NG_CC	8	0.0
Unique-Central_PV	15	4.116
Unique-Hydro_Series	29	1.97333333333
Unique-Central_PV	24	0.0
Unique-Hydro_Dam_2	13	0.0
Unique-Hydro_Series	14	3.89466666667
Unique-Hydro_Dam_1	39	4.85333333333
Unique-NG_CC	46	7.26
Unique-Hydro_Dam_2	46	5.88
Unique-Hydro_Series	3	1.30666666667
Unique-Hydro_Dam_1	20	7.84
Unique-NG_CC	33	0.0
Unique-Central_PV	43	0.0
Unique-Central_PV	25	0.0
Unique-Hydro_Dam_2	19	5.88
Unique-Hydro_Dam_1	9	5.28266666667
Unique-NG_CC	31	0.0
Unique-Hydro_Dam_2	14	0.0
Unique-NG_CC	18	0.0
Unique-Hydro_Dam_2	40	5.88
Unique-NG_CC	5	0.0
Unique-Central_PV	18	2.352
Unique-Central_PV	23	0.0
Unique-Hydro_Series	24	4.30666666667
Unique-Hydro_Dam_1	45	7.84
Unique-Central_PV	31	0.0
Unique-Hydro_Series	13	3.89466666667
Unique-Hydro_Dam_1	34	3.36266666667
Unique-Hydro_Dam_2	9	0.0
Unique-NG_CC	43	0.0
Unique-Hydro_Dam_2	25	0.3
Unique-Hydro_Dam_1	23	7.84
Unique-Central_PV	46	0.0
Unique-Central_PV	13	4.116
Unique-Hydro_Dam_2	20	5.88
Unique-Hydro_Dam_1	4	0.813333333333
Unique-NG_CC	28	0.0
Unique-Hydro_Dam_2	3	5.88
Unique-NG_CC	15	0.0
Unique-Central_PV	4	0.0
Unique-Hydro_Series	41	4.052
Unique-NG_CC	2	0.0
Unique-Central_PV	17	2.94
Unique-Hydro_Dam_2	48	5.88
Unique-Hydro_Dam_1	40	6.304
Unique-Hydro_Dam_2	47	5.88
Unique-Hydro_Dam_1	29	2.14666666667
Unique-Hydro_Series	44	9.8
Unique-NG_CC	40	0.0
Unique-Central_PV	32	0.0
Unique-Hydro_Series	6	1.30666666667
Unique-Hydro_Dam_2	8	0.0
Unique-Hydro_Dam_1	18	3.912
Unique-Central_PV	45	0.0
Unique-Hydro_Series	46	8.02
Unique-Hydro_Dam_1	7	4.73333333333
Unique-NG_CC	25	0.0
Unique-Hydro_Dam_2	4	5.88
Unique-Hydro_Series	34	2.58133333333
Unique-NG_CC	12	0.0
Unique-Central_PV	11	2.352
